iso3,date,sort_year,label,arena,description,outcome,source
ISL,8 Oct 2008,2008.77,UK freezes Landsbanki assets,financial,"The UK Treasury made the Landsbanki Freezing Order 2008 under the Anti-terrorism, Crime and Security Act 2001, freezing Icelandic bank and government funds held in Britain. An EU member state used counter-terrorism law against the assets of a fellow European democracy in the middle of its banking collapse","No court ruled on the freezing order itself; it was approved by both Houses of Parliament on 28 October 2008",UK Statutory Instrument 2008/2668 (legislation.gov.uk)
ISL,6 Mar 2010,2010.18,First Icesave referendum,financial,"Icelanders were asked to guarantee repayment of roughly EUR 4bn to the British and Dutch governments, which had compensated their own depositors in the failed Icesave accounts","Rejected by 93.2%",France 24
ISL,9 Apr 2011,2011.27,Second Icesave referendum,financial,A renegotiated repayment agreement was put to a second vote,"Rejected again, 58% to 42%",BBC News; Al Jazeera
ISL,28 Jan 2013,2013.08,EFTA Court: Iceland acquitted,legal,"The EFTA Surveillance Authority, backed by the UK and the Netherlands, took Iceland to the EFTA Court over the Deposit Guarantee Directive in Case E-16/11","Iceland won outright. The Court dismissed every claim: the pre-2009 directive imposed no absolute state guarantee in a systemic collapse, and Iceland had not unlawfully discriminated between domestic and foreign depositors. No compensation was owed",EFTA Court press release PR-02/13
ISL,2010-2014,2012.00,Mackerel dispute,commercial,"Iceland raised its unilateral mackerel quota sharply as the stock moved north into its waters. The EU drafted trade-restriction measures against non-sustainable fishing states and applied them to the Faroe Islands over herring","Unresolved. In March 2014 the EU, Norway and the Faroes agreed a mackerel share that excluded Iceland, which called it unacceptable. There is still no comprehensive coastal-states agreement",European Commission (coastal states consultations); BBC News; SeafoodSource
NOR,22 Mar 2018,2018.22,Third energy package and ACER,legal,"The Storting voted by 75.2% to take the EU's third energy package into the EEA Agreement, placing Norway's energy regulator under the EU agency ACER for cross-border questions. Opponents argued this was a transfer of sovereignty over hydropower requiring a three-quarters constitutional majority","The Supreme Court ruled on 31 October 2023 that the transfer was of limited significance and a simple majority sufficed. The challenge failed",Supreme Court of Norway HR-2023-2030-P
NOR,Feb 2019,2019.13,Snow crab and Svalbard,legal,"Norway arrested an EU-licensed Latvian vessel fishing snow crab in the Svalbard zone. The EU held that its vessels had valid licences under the 1920 Svalbard Treaty's non-discrimination principle; Norway claimed exclusive management of a continental-shelf resource","Norway's Supreme Court upheld Norway's exclusive right and the conviction. That settles Norwegian law but not the EU-Norway disagreement over the treaty, which remains diplomatically open",Supreme Court of Norway (via High North News)
NOR,28 Oct 2019,2019.82,The NAV scandal,legal,"Norway's welfare agency had been misapplying EEA social security coordination rules in force since 2012, denying benefits to people staying temporarily elsewhere in the EEA and prosecuting them for fraud. Around 2,400 people were affected and at least 48 wrongly convicted, some imprisoned","Convictions overturned, compensation paid and practice corrected. Not a confrontation with the EU but a failure to apply EEA law the country had already accepted",Norwegian government; contemporaneous reporting
NOR,21 May 2025,2025.39,EFTA Court on oil and gas emissions,legal,"Asked by a Norwegian court in a case brought by environmental groups, the EFTA Court held that downstream combustion emissions must be counted in environmental impact assessments for new oil and gas field approvals","The claimants won the advisory opinion, reinforcing an Oslo District Court ruling that had invalidated three North Sea approvals. The domestic case continued on appeal",EFTA Court advisory opinion (Case E-18/24)
CHE,9 Feb 2014,2014.11,Mass immigration initiative,legal,"Swiss voters approved immigration quotas by 50.3%, in direct conflict with the free movement agreement with the EU","The EU refused to renegotiate free movement and suspended talks on Swiss association to Horizon 2020 and Erasmus+. Parliament implemented the initiative in December 2016 as a job-registration duty rather than quotas, in force 1 July 2018. Full Horizon 2020 association resumed on 1 January 2017; Erasmus+ was replaced by a Swiss-funded substitute",Swiss FDFA; SECO; BBC News
CHE,30 Jun 2019,2019.49,Stock exchange equivalence lapses,financial,"The Commission declined to extend recognition of Swiss stock exchange regulation, explicitly linking it to the stalled framework agreement talks","Switzerland retaliated from 1 July 2019 by banning the trading of Swiss shares on EU venues, which pulled that trading back to Zurich",Swiss Federal Department of Finance (sif.admin.ch)
CHE,26 May 2021,2021.40,Framework agreement talks terminated,legal,"After seven years of negotiation the Federal Council walked away from the Institutional Framework Agreement over wage protection, state aid and access to Swiss welfare","The mutual recognition agreement on medical devices lapsed the same day, and Switzerland was made a non-associated third country in Horizon Europe. It spent CHF 2.6bn of national money replacing that access between 2021 and 2024",Swiss FDFA; European Commission statement; SWI swissinfo.ch
CHE,10 Nov 2025,2025.86,Horizon association restored,legal,"The EU Programmes Agreement was signed in Bern, associating Switzerland to Horizon Europe, Euratom and Digital Europe retroactively from 1 January 2025","Swiss researchers won EUR 160m from the European Research Council in the first year back",Swiss State Secretariat for Education Research and Innovation (SBFI)
