order,area,group,eu,eea,swiss,note_eea,note_swiss,note_isl
1,Free movement of goods,The four freedoms,full,full,partial,"In the EEA in full — but with no customs union, so goods still face rules-of-origin checks at the border.","A free trade agreement and a technical-barriers agreement, not single-market membership for goods.",
2,Free movement of services,The four freedoms,full,full,partial,Covered by the EEA on the same terms as a member state.,The services agreement was negotiated in the second bilateral package and never entered into force. Cross-border provision is capped at 90 days a year.,
3,Free movement of capital,The four freedoms,full,full,partial,Covered by the EEA.,"Only in specific sectors. There is no general capital agreement, and financial-services access rests on equivalence decisions the EU can withdraw — as it did in 2019.",
4,Free movement of persons,The four freedoms,full,full,full,Through the EEA since 1994.,Reached by bilateral treaty in 2002 rather than through the EEA. Voters were asked to end it in 2020 and refused by 61.7%.,
5,Competition and state aid,Market rules,full,full,partial,Policed by the EFTA Surveillance Authority and the EFTA Court on the same substantive rules a member state faces.,EU competition rules apply only in air transport.,
6,Public procurement,Market rules,full,full,partial,Covered by the EEA.,A bilateral procurement agreement covering a narrower range of entities than the EU regime.,
7,Consumer protection,Horizontal policies,full,full,none,Listed by the European Parliament among the horizontal policies the EEA covers.,Not covered by the bilateral agreements.,
8,Company law,Horizontal policies,full,full,none,Listed by the European Parliament among the horizontal policies the EEA covers.,Not covered by the bilateral agreements.,
9,Employment and social policy,Horizontal policies,full,full,none,The EEA carries EU employment law in full.,Not covered — and this is the area the framework agreement talks died on. Swiss wage-protection rules were the sticking point in 2021.,
10,Environment,Horizontal policies,full,full,partial,In the EEA in full.,"A bilateral environment agreement, and a link to the EU emissions trading system.",
11,Energy,Horizontal policies,full,full,none,"Norway took the EU's third energy package into the EEA in 2018, placing its regulator under ACER for cross-border questions. The Supreme Court rejected the sovereignty challenge in 2023.",No electricity agreement. Switzerland sits physically at the centre of the European grid and outside its legal framework.,"Incorporated into the EEA, but with no interconnector the cross-border provisions have no practical effect. The Commission agreed in writing on 22 March 2019 that decisions on electricity interconnectors between Iceland and the EU's internal market “lie entirely within the competence of Icelandic authorities”."
12,Statistics,Horizontal policies,full,full,full,A statistics agreement is part of the EEA.,A bilateral statistics agreement is in force.,
13,Research and innovation,Programme participation,full,full,partial,EEA states pay to take part in Horizon Europe. Norway has won 3.23% of the programme against a government target of 2.8%.,"Excluded from 2021 to 2024, replaced by CHF 2.6bn of national funding, and re-associated only on 10 November 2025.",EEA states pay to take part in Horizon Europe. Icelandic institutions won EUR 50m in the first three years of the programme and EUR 140m across the whole of Horizon 2020.
14,Education and youth,Programme participation,full,full,none,Erasmus+ applies in the EEA.,A Swiss-funded national substitute has run since 2014.,
15,Schengen and border control,Justice and home affairs,full,full,full,"Since 25 March 2001, by a separate association agreement rather than through the EEA.","Since 12 December 2008, by a separate association agreement rather than through the bilaterals.",
16,Wider justice and home affairs,Justice and home affairs,full,none,none,Explicitly excluded from the EEA Agreement. Participation is selective and by separate agreement.,Not covered beyond Schengen and Dublin.,
17,Agriculture,Outside the agreements,full,none,partial,The common agricultural policy is excluded from the EEA. Agricultural protection stays national — and is higher than the CAP would allow.,Agreements on agricultural trade and processed agricultural products only. Swiss farm protection is among the highest in the OECD.,
18,Fisheries,Outside the agreements,full,none,none,The common fisheries policy is excluded from the EEA. This is the single largest reason membership has never been settled in either Norway or Iceland — quota-setting would move to Brussels.,Not applicable to a landlocked state.,
19,Customs union and external tariff,Outside the agreements,full,none,none,"No EEA state is in the customs union, so every consignment still needs rules-of-origin paperwork even where the tariff is zero.","Outside the customs union, with the same paperwork consequence.",
20,Common commercial policy,Outside the agreements,full,none,none,EEA states negotiate their own trade agreements — genuine autonomy — but have no say in the EU's.,"Same: an independent trade policy, and no vote on the EU's.",
21,Monetary union,Outside the agreements,partial,none,none,Only 21 of 27 members are in the euro area — Bulgaria joined on 1 January 2026 — so this is partial even inside the Union.,Only 21 of 27 members are in the euro area — Bulgaria joined on 1 January 2026 — so this is partial even inside the Union.,
22,Common foreign and security policy,Outside the agreements,full,none,none,Alignment with EU sanctions and declarations is voluntary. Norway aligns closely in practice.,"Neutrality makes alignment selective, and that is a deliberate constitutional position rather than an oversight.",Alignment with EU sanctions and declarations is voluntary. Iceland is named in the Council's standard alignment formula alongside Liechtenstein and Norway. It has no standing army and has been a member of NATO since the alliance was founded in 1949.
23,Regional and cohesion funding,The budget,full,none,none,Members can receive from the structural funds. Non-members pay into cohesion — the EEA and Norway Grants — and receive nothing from it.,Switzerland pays a cohesion contribution and receives nothing from the structural funds.,Members can receive from the structural funds. Iceland pays into cohesion through the EEA Financial Mechanism and receives nothing from it. Credited sources put its share of that mechanism between 3% and 4.2% depending on period and basis.
24,Farm payments and rural funds,The budget,full,none,none,"The largest single line in the EU budget, over EUR 1 trillion since 2000, is closed to non-members.","The largest single line in the EU budget, over EUR 1 trillion since 2000, is closed to non-members.","The largest single line in the EU budget, over EUR 1 trillion since 2000, is closed to non-members. Icelandic farm support stays national and is paid for nationally."
25,A vote on the rules,Decision-making,full,none,none,The decisive row. EEA states adopt single-market law with no seat in the Council and no members of the European Parliament. There is consultation at the drafting stage and a formal right of reservation that has never been used to block an act outright.,"The decisive row. Switzerland adopts EU-equivalent rules treaty by treaty, with no seat in the Council and no members of the European Parliament — and the EU's central demand since 2014 has been that it accept new law dynamically.",
